fen,move,score,outcome
rnb1k1nr/ppqp1ppp/2pb4/4p3/P7/2N1P3/1PPPQPPP/RNB1KB1R b KQkq - 3 3,e8d8,10,0.5
rnbk2nr/ppqp1ppp/2pb4/4p3/P7/2N1P3/1PPPQPPP/RNB1KB1R w KQ - 4 3,c3e4,40,0.5
rnbk2nr/ppqp1ppp/2pb4/4p3/P3N3/4P3/1PPPQPPP/RNB1KB1R b KQ - 5 4,g8h6,100,0.5
rnbk3r/ppqp1ppp/2pb3n/4p3/P3N3/4P3/1PPPQPPP/RNB1KB1R w KQ - 6 4,e1d1,10,0.5
rnbk3r/ppqp1ppp/2pb3n/4p3/P3N3/4P3/1PPPQPPP/RNBK1B1R b - - 7 5,d8e8,100,0.5
rnb1k2r/ppqp1ppp/2pb3n/4p3/P3N3/4P3/1PPPQPPP/RNBK1B1R w - - 8 5,e4d6,10,0.5
rnb1k2r/ppqp1ppp/2pN3n/4p3/P7/4P3/1PPPQPPP/RNBK1B1R b - - 0 6,c7d6,110,0.5
rnb1k2r/pp1p1ppp/2pq3n/4p3/P7/4P3/1PPPQPPP/RNBK1B1R w - - 0 6,b2b3,10,0.5
rnb1k2r/pp1p1ppp/2pq3n/4p3/P7/1P2P3/2PPQPPP/RNBK1B1R b - - 0 7,a7a6,110,0.5
rnb1k2r/1p1p1ppp/p1pq3n/4p3/P7/1P2P3/2PPQPPP/RNBK1B1R w - - 0 7,c2c3,10,0.5
rnb1k2r/1p1p1ppp/p1pq3n/4p3/P7/1PP1P3/3PQPPP/RNBK1B1R b - - 0 8,d6d5,10,0.5
rnb1k2r/1p1p1ppp/p1p4n/3qp3/P7/1PP1P3/3PQPPP/RNBK1B1R w - - 1 8,d1c2,10,0.5
rnb1k2r/1p1p1ppp/p1p4n/3qp3/P7/1PP1P3/2KPQPPP/RNB2B1R b - - 2 9,a6a5,10,0.5
rnb1k2r/1p1p1ppp/2p4n/p2qp3/P7/1PP1P3/2KPQPPP/RNB2B1R w - - 0 9,d2d3,10,0.5
rnb1k2r/1p1p1ppp/2p4n/p2qp3/P7/1PPPP3/2K1QPPP/RNB2B1R b - - 0 10,e5e4,10,0.5
rnb1k2r/1p1p1ppp/2p4n/p2q4/P3p3/1PPPP3/2K1QPPP/RNB2B1R w - - 0 10,d3e4,10,0.5
rnb1k2r/1p1p1ppp/2p4n/p2q4/P3P3/1PP1P3/2K1QPPP/RNB2B1R b - - 0 11,d5e4,10,0.5
rnb1k2r/1p1p1ppp/2p4n/p7/P3q3/1PP1P3/2K1QPPP/RNB2B1R w - - 0 11,e2d3,10,0.5
rnb1k2r/1p1p1ppp/2p4n/p7/P3q3/1PPQP3/2K2PPP/RNB2B1R b - - 1 12,d7d5,10,0.5
rnb1k2r/1p3ppp/2p4n/p2p4/P3q3/1PPQP3/2K2PPP/RNB2B1R w - d6 0 12,d3e4,10,0.5
